GeoFIPS,GeoName,Region,TableName,LineCode,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
" ""00000"" ",United States *, ,CAGDP2,1,All industry total,Thousands of dollars,10581822000,10936418000,11458246000,12213730000,13036637000,13814609000,14451860000,14712845000,14448932000,14992052000,15542582000,16197007000,16784851000,17527258000,18224780000,18715040000,19519424000,20580223000
" ""01000"" ",Alabama,5,CAGDP2,1,All industry total,Thousands of dollars,122449316,127792310,133739237,146524706,155970398,163853599,169678352,172686846,168348037,174753001,181349789,186298987,191481016,194211018,200402713,203829840,210364397,221735502
" ""01001"" ","Autauga, AL",5,CAGDP2,1,All industry total,Thousands of dollars,758696,784459,803819,941933,958428,1068295,1131229,1039121,1117137,1187827,1311442,1482770,1453551,1497203,1653173,1662515,1582480,1690937
" ""01003"" ","Baldwin, AL",5,CAGDP2,1,All industry total,Thousands of dollars,3032569,3283056,3502357,3948521,4489896,4683784,4823410,4644130,4477050,4653397,4762428,5016735,5260675,5424936,5756010,6046123,6181913,6606080
" ""01005"" ","Barbour, AL",5,CAGDP2,1,All industry total,Thousands of dollars,638553,640735,669298,750822,755902,764630,757130,724367,732372,753992,735173,726909,796752,765766,784874,773388,793264,851956
" ""01007"" ","Bibb, AL",5,CAGDP2,1,All industry total,Thousands of dollars,220353,232352,250684,271457,277615,304017,328096,336114,330306,359033,371343,374435,389465,393158,389745,396299,400681,424510
" ""01009"" ","Blount, AL",5,CAGDP2,1,All industry total,Thousands of dollars,621587,651239,672009,697807,704660,734516,775339,782975,773222,774493,765726,804763,857641,854178,870909,838491,886794,942904
" ""01011"" ","Bullock, AL",5,CAGDP2,1,All industry total,Thousands of dollars,176229,190285,191514,193655,189077,206679,206533,211685,239507,228255,228788,253214,249651,228715,231682,250811,244165,256130
" ""01013"" ","Butler, AL",5,CAGDP2,1,All industry total,Thousands of dollars,372304,388584,409632,443985,435671,454497,490578,482107,448537,522642,551262,565044,579075,587501,600364,586962,599698,632592
" ""01015"" ","Calhoun, AL",5,CAGDP2,1,All industry total,Thousands of dollars,2698357,2840023,2977144,3312109,3611826,3849408,4117444,4277212,4132331,4390904,4256139,4260733,4121092,4042574,4049885,4152099,4225257,4428092
" ""01017"" ","Chambers, AL",5,CAGDP2,1,All industry total,Thousands of dollars,703808,738367,671889,751668,720152,723868,717210,637568,617828,641514,672518,752850,1307504,1598956,2049247,2271144,2249818,2218892
" ""01019"" ","Cherokee, AL",5,CAGDP2,1,All industry total,Thousands of dollars,311899,318236,338547,375417,366648,402792,431259,447256,423461,446904,481304,486349,535047,515910,516608,493622,505868,554189
" ""01021"" ","Chilton, AL",5,CAGDP2,1,All industry total,Thousands of dollars,494901,530170,562019,618987,647376,701809,715386,702162,697734,720387,775312,820985,871270,848741,873890,887100,908777,965008
" ""01023"" ","Choctaw, AL",5,CAGDP2,1,All industry total,Thousands of dollars,490095,448875,422050,495429,557833,633471,553256,558542,377781,409556,509390,568763,568374,575559,563615,558860,555055,620190
" ""01025"" ","Clarke, AL",5,CAGDP2,1,All industry total,Thousands of dollars,542682,551955,561184,628110,671009,742758,756647,740517,729027,711302,749869,800455,830525,845887,865911,860532,858838,902154
" ""01027"" ","Clay, AL",5,CAGDP2,1,All industry total,Thousands of dollars,255820,267636,251427,278894,308064,345255,303882,289886,281650,285354,272189,282082,311160,317954,339101,338134,350093,370148
" ""01029"" ","Cleburne, AL",5,CAGDP2,1,All industry total,Thousands of dollars,208256,213454,215176,237287,249728,251505,250512,272061,242098,257665,247494,270776,290823,304725,306064,293355,295903,314601
" ""01031"" ","Coffee, AL",5,CAGDP2,1,All industry total,Thousands of dollars,792665,816217,834662,929729,966272,979072,1063097,1106958,1153293,1182783,1159820,1198684,1251125,1301693,1418338,1455937,1515081,1598712
" ""01033"" ","Colbert, AL",5,CAGDP2,1,All industry total,Thousands of dollars,1412261,1465019,1612792,1783415,1915929,2065489,2093788,2171977,1941540,2178810,2379580,2423750,2688630,2860813,2943816,2897465,2918397,3066841
" ""01035"" ","Conecuh, AL",5,CAGDP2,1,All industry total,Thousands of dollars,244667,248825,256978,289190,349618,424657,467810,556517,411709,403120,486984,513044,544996,476897,394580,382557,402218,418296
