Notes,County,County Code,Year,Year Code,Deaths,Population,Crude Rate,Rate
,"Autauga County, AL",1001,2001,2001,11,44889,Unreliable,24.50488984
,"Baldwin County, AL",1003,2001,2001,20,144875,13.8,
,"Calhoun County, AL",1015,2001,2001,18,111266,Unreliable,
,"Etowah County, AL",1055,2001,2001,21,102976,20.4,
,"Jackson County, AL",1071,2001,2001,10,53997,Unreliable,
,"Jefferson County, AL",1073,2001,2001,74,660197,11.2,
,"Madison County, AL",1089,2001,2001,28,281517,9.9,
,"Marshall County, AL",1095,2001,2001,13,82477,Unreliable,
,"Mobile County, AL",1097,2001,2001,55,400129,13.7,
,"Montgomery County, AL",1101,2001,2001,22,223048,9.9,
,"Morgan County, AL",1103,2001,2001,16,111682,Unreliable,
,"Shelby County, AL",1117,2001,2001,12,149358,Unreliable,
,"Tuscaloosa County, AL",1125,2001,2001,17,166951,Unreliable,
,"Walker County, AL",1127,2001,2001,10,70364,Unreliable,
,"Anchorage Borough, AK",2020,2001,2001,31,264274,11.7,
,"Fairbanks North Star Borough, AK",2090,2001,2001,12,84814,Unreliable,
,"Matanuska-Susitna Borough, AK",2170,2001,2001,12,61807,Unreliable,
,"Apache County, AZ",4001,2001,2001,11,67863,Unreliable,
,"Cochise County, AZ",4003,2001,2001,25,118798,21,
,"Coconino County, AZ",4005,2001,2001,24,118283,20.3,
,"Maricopa County, AZ",4013,2001,2001,390,3175989,12.3,
,"Mohave County, AZ",4015,2001,2001,42,160312,26.2,
,"Navajo County, AZ",4017,2001,2001,30,97849,30.7,
,"Pima County, AZ",4019,2001,2001,144,859280,16.8,
,"Pinal County, AZ",4021,2001,2001,29,187747,15.4,
,"Yavapai County, AZ",4025,2001,2001,37,172636,21.4,
,"Baxter County, AR",5005,2001,2001,11,38331,Unreliable,
,"Benton County, AR",5007,2001,2001,24,159258,15.1,
,"Craighead County, AR",5031,2001,2001,13,83276,Unreliable,
,"Crittenden County, AR",5035,2001,2001,11,50919,Unreliable,
,"Garland County, AR",5051,2001,2001,15,89032,Unreliable,
,"Pulaski County, AR",5119,2001,2001,44,362866,12.1,
,"Saline County, AR",5125,2001,2001,15,85473,Unreliable,
,"Sebastian County, AR",5131,2001,2001,20,116488,17.2,
,"Washington County, AR",5143,2001,2001,20,163151,12.3,
,"Alameda County, CA",6001,2001,2001,76,1469484,5.2,
,"Butte County, CA",6007,2001,2001,23,206193,11.2,
,"Contra Costa County, CA",6013,2001,2001,76,970952,7.8,
,"El Dorado County, CA",6017,2001,2001,22,161101,13.7,
,"Fresno County, CA",6019,2001,2001,74,813021,9.1,
,"Humboldt County, CA",6023,2001,2001,25,127520,19.6,
,"Kern County, CA",6029,2001,2001,63,676574,9.3,
,"Los Angeles County, CA",6037,2001,2001,739,9626034,7.7,
,"Madera County, CA",6039,2001,2001,18,125581,Unreliable,
,"Marin County, CA",6041,2001,2001,32,247866,12.9,
,"Merced County, CA",6047,2001,2001,15,218816,Unreliable,
,"Monterey County, CA",6053,2001,2001,29,407082,7.1,
,"Napa County, CA",6055,2001,2001,15,126818,Unreliable,
,"Nevada County, CA",6057,2001,2001,12,93715,Unreliable,
,"Orange County, CA",6059,2001,2001,161,2885457,5.6,
,"Placer County, CA",6061,2001,2001,27,263615,10.2,
,"Riverside County, CA",6065,2001,2001,153,1616634,9.5,
,"Sacramento County, CA",6067,2001,2001,104,1266257,8.2,
,"San Bernardino County, CA",6071,2001,2001,140,1760731,8,
,"San Diego County, CA",6073,2001,2001,258,2869672,9,
,"San Francisco County, CA",6075,2001,2001,102,780865,13.1,
,"San Joaquin County, CA",6077,2001,2001,50,591207,8.5,
,"San Luis Obispo County, CA",6079,2001,2001,36,251462,14.3,
,"San Mateo County, CA",6081,2001,2001,46,705621,6.5,
,"Santa Barbara County, CA",6083,2001,2001,41,403164,10.2,
,"Santa Clara County, CA",6085,2001,2001,109,1688082,6.5,
,"Santa Cruz County, CA",6087,2001,2001,26,256045,10.2,
,"Shasta County, CA",6089,2001,2001,38,166408,22.8,
,"Solano County, CA",6095,2001,2001,38,404209,9.4,
,"Stanislaus County, CA",6099,2001,2001,39,463761,8.4,
,"Sutter County, CA",6101,2001,2001,11,80138,Unreliable,
,"Tehama County, CA",6103,2001,2001,11,56685,Unreliable,
,"Tulare County, CA",6107,2001,2001,23,373171,6.2,
,"Tuolumne County, CA",6109,2001,2001,10,55253,Unreliable,
,"Ventura County, CA",6111,2001,2001,69,766689,9,
,"Yolo County, CA",6113,2001,2001,13,175337,Unreliable,
,"Adams County, CO",8001,2001,2001,67,376115,17.8,
,"Arapahoe County, CO",8005,2001,2001,88,502393,17.5,
,"Boulder County, CO",8013,2001,2001,44,300727,14.6,
,"Denver County, CO",8031,2001,2001,74,561976,13.2,
,"Douglas County, CO",8035,2001,2001,23,196783,11.7,
,"El Paso County, CO",8041,2001,2001,100,535864,18.7,
,"Fremont County, CO",8043,2001,2001,10,46633,Unreliable,
,"Jefferson County, CO",8059,2001,2001,90,530452,17,
,"La Plata County, CO",8067,2001,2001,10,45044,Unreliable,
,"Larimer County, CO",8069,2001,2001,44,260541,16.9,
,"Mesa County, CO",8077,2001,2001,18,119496,Unreliable,
,"Montezuma County, CO",8083,2001,2001,11,23692,Unreliable,
,"Pueblo County, CO",8101,2001,2001,33,144014,22.9,
,"Weld County, CO",8123,2001,2001,21,192297,10.9,
,"Fairfield County, CT",9001,2001,2001,62,889063,7,
,"Hartford County, CT",9003,2001,2001,73,862573,8.5,
,"Litchfield County, CT",9005,2001,2001,26,184118,14.1,
,"Middlesex County, CT",9007,2001,2001,11,157006,Unreliable,
,"New Haven County, CT",9009,2001,2001,56,829875,6.7,
,"New London County, CT",9011,2001,2001,26,261396,9.9,
,"Tolland County, CT",9013,2001,2001,13,138934,Unreliable,
,"Windham County, CT",9015,2001,2001,15,109870,Unreliable,
,"Kent County, DE",10001,2001,2001,14,129228,Unreliable,
,"New Castle County, DE",10003,2001,2001,75,506026,14.8,
,"Sussex County, DE",10005,2001,2001,18,160445,Unreliable,
,"District of Columbia, DC",11001,2001,2001,40,574504,7,
,"Alachua County, FL",12001,2001,2001,30,221718,13.5,
,"Bay County, FL",12005,2001,2001,18,150207,Unreliable,
,"Brevard County, FL",12009,2001,2001,89,486429,18.3,
,"Broward County, FL",12011,2001,2001,226,1662848,13.6,
,"Charlotte County, FL",12015,2001,2001,31,146311,21.2,
,"Citrus County, FL",12017,2001,2001,27,121197,22.3,
,"Clay County, FL",12019,2001,2001,25,145685,17.2,
,"Collier County, FL",12021,2001,2001,39,264240,14.8,
,"Duval County, FL",12031,2001,2001,108,790681,13.7,
,"Escambia County, FL",12033,2001,2001,27,297776,9.1,
,"Hernando County, FL",12053,2001,2001,27,134127,20.1,
,"Highlands County, FL",12055,2001,2001,16,88510,Unreliable,
,"Hillsborough County, FL",12057,2001,2001,149,1028385,14.5,
,"Indian River County, FL",12061,2001,2001,19,115456,Unreliable,
,"Lake County, FL",12069,2001,2001,34,222297,15.3,
,"Lee County, FL",12071,2001,2001,70,461037,15.2,
,"Leon County, FL",12073,2001,2001,21,242583,8.7,
,"Manatee County, FL",12081,2001,2001,52,272281,19.1,
,"Marion County, FL",12083,2001,2001,55,264553,20.8,
,"Martin County, FL",12085,2001,2001,17,129856,Unreliable,
,"Miami-Dade County, FL",12086,2001,2001,214,2287458,9.4,
,"Monroe County, FL",12087,2001,2001,16,79038,Unreliable,
,"Okaloosa County, FL",12091,2001,2001,18,172564,Unreliable,
,"Orange County, FL",12095,2001,2001,96,931775,10.3,
,"Osceola County, FL",12097,2001,2001,32,181694,17.6,
,"Palm Beach County, FL",12099,2001,2001,174,1160474,15,
,"Pasco County, FL",12101,2001,2001,57,357653,15.9,
,"Pinellas County, FL",12103,2001,2001,167,923850,18.1,
,"Polk County, FL",12105,2001,2001,83,492917,16.8,
,"Putnam County, FL",12107,2001,2001,13,70585,Unreliable,
,"St. Johns County, FL",12109,2001,2001,13,129805,Unreliable,
,"St. Lucie County, FL",12111,2001,2001,35,198459,17.6,
,"Santa Rosa County, FL",12113,2001,2001,20,121261,16.5,
,"Sarasota County, FL",12115,2001,2001,56,333707,16.8,
,"Seminole County, FL",12117,2001,2001,42,374593,11.2,
,"Volusia County, FL",12127,2001,2001,82,451103,18.2,
,"Bartow County, GA",13015,2001,2001,12,79984,Unreliable,
,"Bibb County, GA",13021,2001,2001,19,153548,Unreliable,
,"Carroll County, GA",13045,2001,2001,11,91132,Unreliable,
,"Chatham County, GA",13051,2001,2001,29,234150,12.4,
,"Cherokee County, GA",13057,2001,2001,12,151189,Unreliable,
,"Clayton County, GA",13063,2001,2001,23,245327,9.4,
,"Cobb County, GA",13067,2001,2001,46,623006,7.4,
,"Columbia County, GA",13073,2001,2001,21,92537,22.7,
,"Coweta County, GA",13077,2001,2001,10,93627,Unreliable,
,"DeKalb County, GA",13089,2001,2001,61,670900,9.1,
,"Douglas County, GA",13097,2001,2001,11,95720,Unreliable,
,"Floyd County, GA",13115,2001,2001,13,91181,Unreliable,
,"Forsyth County, GA",13117,2001,2001,15,108491,Unreliable,
,"Fulton County, GA",13121,2001,2001,78,820213,9.5,
,"Gwinnett County, GA",13135,2001,2001,58,620025,9.4,
,"Hall County, GA",13139,2001,2001,20,146148,13.7,
,"Henry County, GA",13151,2001,2001,25,131000,19.1,
,"Houston County, GA",13153,2001,2001,12,113432,Unreliable,
,"Muscogee County, GA",13215,2001,2001,16,186375,Unreliable,
,"Paulding County, GA",13223,2001,2001,13,88910,Unreliable,
,"Richmond County, GA",13245,2001,2001,22,199443,11,
,"Spalding County, GA",13255,2001,2001,13,58927,Unreliable,
,"Hawaii County, HI",15001,2001,2001,19,151690,Unreliable,
,"Honolulu County, HI",15003,2001,2001,93,882755,10.5,
,"Kauai County, HI",15007,2001,2001,10,59075,Unreliable,
,"Maui County, HI",15009,2001,2001,14,132290,Unreliable,
,"Ada County, ID",16001,2001,2001,41,313896,13.1,
,"Bannock County, ID",16005,2001,2001,10,76296,Unreliable,
,"Canyon County, ID",16027,2001,2001,20,139179,14.4,
,"Kootenai County, ID",16055,2001,2001,26,111542,23.3,
,"Nez Perce County, ID",16069,2001,2001,10,36999,Unreliable,
,"Twin Falls County, ID",16083,2001,2001,14,64556,Unreliable,
,"Adams County, IL",17001,2001,2001,13,68014,Unreliable,
,"Champaign County, IL",17019,2001,2001,13,181956,Unreliable,
,"Cook County, IL",17031,2001,2001,404,5360562,7.5,
,"DuPage County, IL",17043,2001,2001,71,911474,7.8,
,"Kane County, IL",17089,2001,2001,35,423975,8.3,
,"Kankakee County, IL",17091,2001,2001,12,104490,Unreliable,
,"Lake County, IL",17097,2001,2001,46,658986,7,
,"LaSalle County, IL",17099,2001,2001,16,112212,Unreliable,
,"McHenry County, IL",17111,2001,2001,21,267632,7.8,
,"McLean County, IL",17113,2001,2001,15,152713,Unreliable,
,"Madison County, IL",17119,2001,2001,35,260343,13.4,
,"Ogle County, IL",17141,2001,2001,10,51468,Unreliable,
,"Peoria County, IL",17143,2001,2001,17,182348,Unreliable,
,"Rock Island County, IL",17161,2001,2001,22,148734,14.8,
,"St. Clair County, IL",17163,2001,2001,36,256540,14,
,"Sangamon County, IL",17167,2001,2001,20,189924,10.5,
,"Tazewell County, IL",17179,2001,2001,24,128468,18.7,
,"Will County, IL",17197,2001,2001,54,530086,10.2,
,"Williamson County, IL",17199,2001,2001,11,61737,Unreliable,
,"Winnebago County, IL",17201,2001,2001,33,280009,11.8,
,"Allen County, IN",18003,2001,2001,43,334956,12.8,
,"Bartholomew County, IN",18005,2001,2001,10,72110,Unreliable,
,"Delaware County, IN",18035,2001,2001,12,120281,Unreliable,
,"Elkhart County, IN",18039,2001,2001,14,184708,Unreliable,
,"Grant County, IN",18053,2001,2001,11,72905,Unreliable,
,"Hamilton County, IN",18057,2001,2001,16,194664,Unreliable,
,"Hancock County, IN",18059,2001,2001,10,56729,Unreliable,
,"Howard County, IN",18067,2001,2001,10,84909,Unreliable,
,"Johnson County, IN",18081,2001,2001,15,117843,Unreliable,
,"Kosciusko County, IN",18085,2001,2001,12,74756,Unreliable,
,"Lake County, IN",18089,2001,2001,53,484454,10.9,
,"Madison County, IN",18095,2001,2001,23,132920,17.3,
,"Marion County, IN",18097,2001,2001,104,865662,12,
,"Porter County, IN",18127,2001,2001,24,148372,16.2,
,"St. Joseph County, IN",18141,2001,2001,34,265502,12.8,
,"Vanderburgh County, IN",18163,2001,2001,24,172449,13.9,
,"Vigo County, IN",18167,2001,2001,12,105482,Unreliable,
,"Wayne County, IN",18177,2001,2001,13,70712,Unreliable,
,"Whitley County, IN",18183,2001,2001,10,30998,Unreliable,
,"Clinton County, IA",19045,2001,2001,10,49889,Unreliable,
,"Johnson County, IA",19103,2001,2001,11,113546,Unreliable,
,"Linn County, IA",19113,2001,2001,18,194359,Unreliable,
,"Polk County, IA",19153,2001,2001,45,380108,11.8,
,"Pottawattamie County, IA",19155,2001,2001,12,87953,Unreliable,
,"Scott County, IA",19163,2001,2001,17,158203,Unreliable,
,"Douglas County, KS",20045,2001,2001,11,101269,Unreliable,
,"Johnson County, KS",20091,2001,2001,45,463554,9.7,
,"Sedgwick County, KS",20173,2001,2001,46,456887,10.1,
,"Shawnee County, KS",20177,2001,2001,20,170320,11.7,
,"Wyandotte County, KS",20209,2001,2001,32,158372,20.2,
,"Campbell County, KY",21037,2001,2001,11,88843,Unreliable,
,"Daviess County, KY",21059,2001,2001,11,91707,Unreliable,
,"Fayette County, KY",21067,2001,2001,29,263990,11,
,"Hardin County, KY",21093,2001,2001,11,93715,Unreliable,
,"Jefferson County, KY",21111,2001,2001,76,697159,10.9,
,"Kenton County, KY",21117,2001,2001,21,151974,13.8,
,"Pike County, KY",21195,2001,2001,10,67607,Unreliable,
,"Warren County, KY",21227,2001,2001,15,94211,Unreliable,
,"Ascension Parish, LA",22005,2001,2001,13,79210,Unreliable,
,"Bossier Parish, LA",22015,2001,2001,10,100986,Unreliable,
,"Caddo Parish, LA",22017,2001,2001,25,249815,10,
,"Calcasieu Parish, LA",22019,2001,2001,26,183296,14.2,
,"East Baton Rouge Parish, LA",22033,2001,2001,34,411666,8.3,
,"Jefferson Parish, LA",22051,2001,2001,67,453154,14.8,
,"Lafayette Parish, LA",22055,2001,2001,19,191725,Unreliable,
,"Livingston Parish, LA",22063,2001,2001,13,95597,Unreliable,
,"Orleans Parish, LA",22071,2001,2001,48,487363,9.8,
,"Ouachita Parish, LA",22073,2001,2001,14,146789,Unreliable,
,"Rapides Parish, LA",22079,2001,2001,15,126206,Unreliable,
,"St. Landry Parish, LA",22097,2001,2001,10,86416,Unreliable,
,"St. Tammany Parish, LA",22103,2001,2001,25,195622,12.8,
,"Tangipahoa Parish, LA",22105,2001,2001,15,101657,Unreliable,
,"Terrebonne Parish, LA",22109,2001,2001,11,105255,Unreliable,
,"Androscoggin County, ME",23001,2001,2001,11,104260,Unreliable,
,"Aroostook County, ME",23003,2001,2001,10,72962,Unreliable,
,"Cumberland County, ME",23005,2001,2001,28,268391,10.4,
,"Kennebec County, ME",23011,2001,2001,17,118024,Unreliable,
,"Oxford County, ME",23017,2001,2001,11,55157,Unreliable,
,"Penobscot County, ME",23019,2001,2001,25,146110,17.1,
,"York County, ME",23031,2001,2001,14,191261,Unreliable,
,"Anne Arundel County, MD",24003,2001,2001,47,498559,9.4,
,"Baltimore County, MD",24005,2001,2001,64,762925,8.4,
,"Carroll County, MD",24013,2001,2001,14,154037,Unreliable,
,"Charles County, MD",24017,2001,2001,12,124745,Unreliable,
,"Frederick County, MD",24021,2001,2001,17,202315,Unreliable,
,"Harford County, MD",24025,2001,2001,22,222753,9.9,
,"Howard County, MD",24027,2001,2001,11,255211,Unreliable,
,"Montgomery County, MD",24031,2001,2001,56,891764,6.3,
,"Prince George's County, MD",24033,2001,2001,47,817360,5.8,
,"St. Mary's County, MD",24037,2001,2001,11,87455,Unreliable,
,"Washington County, MD",24043,2001,2001,13,133093,Unreliable,
,"Wicomico County, MD",24045,2001,2001,16,85637,Unreliable,
,"Baltimore city, MD",24510,2001,2001,62,640733,9.7,
,"Barnstable County, MA",25001,2001,2001,18,224087,Unreliable,
,"Berkshire County, MA",25003,2001,2001,15,133928,Unreliable,
,"Bristol County, MA",25005,2001,2001,28,538282,5.2,
,"Essex County, MA",25009,2001,2001,41,730206,5.6,
,"Hampden County, MA",25013,2001,2001,38,456557,8.3,
,"Middlesex County, MA",25017,2001,2001,97,1473021,6.6,
,"Norfolk County, MA",25021,2001,2001,48,653137,7.3,
,"Plymouth County, MA",25023,2001,2001,45,478222,9.4,
,"Suffolk County, MA",25025,2001,2001,37,700232,5.3,
,"Worcester County, MA",25027,2001,2001,42,761211,5.5,
,"Allegan County, MI",26005,2001,2001,12,107367,Unreliable,
,"Alpena County, MI",26007,2001,2001,11,31179,Unreliable,
,"Bay County, MI",26017,2001,2001,14,109836,Unreliable,
,"Berrien County, MI",26021,2001,2001,17,161153,Unreliable,
,"Calhoun County, MI",26025,2001,2001,13,138158,Unreliable,
,"Cass County, MI",26027,2001,2001,10,51395,Unreliable,
,"Clare County, MI",26035,2001,2001,10,31405,Unreliable,
,"Eaton County, MI",26045,2001,2001,12,104848,Unreliable,
,"Genesee County, MI",26049,2001,2001,55,438584,12.5,
,"Grand Traverse County, MI",26055,2001,2001,11,79915,Unreliable,
,"Ingham County, MI",26065,2001,2001,23,281105,8.2,
,"Jackson County, MI",26075,2001,2001,18,159772,Unreliable,
,"Kalamazoo County, MI",26077,2001,2001,22,240080,9.2,
,"Kent County, MI",26081,2001,2001,45,581224,7.7,
,"Lenawee County, MI",26091,2001,2001,11,99626,Unreliable,
,"Livingston County, MI",26093,2001,2001,12,163146,Unreliable,
,"Macomb County, MI",26099,2001,2001,85,800571,10.6,
,"Monroe County, MI",26115,2001,2001,17,147605,Unreliable,
,"Montcalm County, MI",26117,2001,2001,11,62083,Unreliable,
,"Muskegon County, MI",26121,2001,2001,22,171055,12.9,
,"Oakland County, MI",26125,2001,2001,118,1200425,9.8,
,"Ottawa County, MI",26139,2001,2001,18,243673,Unreliable,
,"Saginaw County, MI",26145,2001,2001,12,209460,Unreliable,
,"St. Clair County, MI",26147,2001,2001,18,165444,Unreliable,
,"St. Joseph County, MI",26149,2001,2001,12,62404,Unreliable,
,"Shiawassee County, MI",26155,2001,2001,12,72016,Unreliable,
,"Tuscola County, MI",26157,2001,2001,11,58220,Unreliable,
,"Washtenaw County, MI",26161,2001,2001,19,328749,Unreliable,
,"Wayne County, MI",26163,2001,2001,212,2043167,10.4,
,"Anoka County, MN",27003,2001,2001,27,304823,8.9,
,"Clay County, MN",27027,2001,2001,11,51513,Unreliable,
,"Dakota County, MN",27037,2001,2001,31,363602,8.5,
,"Hennepin County, MN",27053,2001,2001,102,1123375,9.1,
,"Olmsted County, MN",27109,2001,2001,10,126737,Unreliable,
,"Otter Tail County, MN",27111,2001,2001,14,57076,Unreliable,
,"Ramsey County, MN",27123,2001,2001,56,512926,10.9,
,"St. Louis County, MN",27137,2001,2001,21,201307,10.4,
,"Scott County, MN",27139,2001,2001,10,96903,Unreliable,
,"Sherburne County, MN",27141,2001,2001,10,68220,Unreliable,
,"Stearns County, MN",27145,2001,2001,11,135241,Unreliable,
,"Washington County, MN",27163,2001,2001,10,207206,Unreliable,
,"DeSoto County, MS",28033,2001,2001,14,113401,Unreliable,
,"Hancock County, MS",28045,2001,2001,16,44172,Unreliable,
,"Harrison County, MS",28047,2001,2001,29,190922,15.2,
,"Hinds County, MS",28049,2001,2001,28,248941,11.2,
,"Jackson County, MS",28059,2001,2001,16,133069,Unreliable,
,"Lee County, MS",28081,2001,2001,12,76537,Unreliable,
,"Rankin County, MS",28121,2001,2001,17,118774,Unreliable,
,"Buchanan County, MO",29021,2001,2001,14,86026,Unreliable,
,"Clay County, MO",29047,2001,2001,29,188024,15.4,
,"Franklin County, MO",29071,2001,2001,16,94872,Unreliable,
,"Greene County, MO",29077,2001,2001,34,243305,14,
,"Jackson County, MO",29095,2001,2001,105,657012,16,
,"Jasper County, MO",29097,2001,2001,13,105628,Unreliable,
,"Jefferson County, MO",29099,2001,2001,26,200682,13,
,"St. Charles County, MO",29183,2001,2001,26,294908,8.8,
,"St. Louis County, MO",29189,2001,2001,122,1016243,12,
,"St. Louis city, MO",29510,2001,2001,48,343243,14,
,"Cascade County, MT",30013,2001,2001,16,80055,Unreliable,
,"Flathead County, MT",30029,2001,2001,13,76171,Unreliable,
,"Gallatin County, MT",30031,2001,2001,15,70120,Unreliable,
,"Lewis and Clark County, MT",30049,2001,2001,15,56262,Unreliable,
,"Missoula County, MT",30063,2001,2001,16,97435,Unreliable,
,"Yellowstone County, MT",30111,2001,2001,26,130801,19.9,
,"Douglas County, NE",31055,2001,2001,39,468125,8.3,
,"Lancaster County, NE",31109,2001,2001,28,254630,11,
,"Sarpy County, NE",31153,2001,2001,12,126442,Unreliable,
,"Clark County, NV",32003,2001,2001,267,1460500,18.3,
,"Nye County, NV",32023,2001,2001,10,33684,Unreliable,
,"Washoe County, NV",32031,2001,2001,64,351959,18.2,
,"Carson City, NV",32510,2001,2001,13,53472,Unreliable,
,"Belknap County, NH",33001,2001,2001,10,57597,Unreliable,
,"Carroll County, NH",33003,2001,2001,10,44200,Unreliable,
,"Cheshire County, NH",33005,2001,2001,10,74372,Unreliable,
,"Hillsborough County, NH",33011,2001,2001,53,387414,13.7,
,"Merrimack County, NH",33013,2001,2001,18,138309,Unreliable,
,"Rockingham County, NH",33015,2001,2001,25,282932,8.8,
,"Strafford County, NH",33017,2001,2001,21,114382,18.4,
,"Atlantic County, NJ",34001,2001,2001,12,255737,Unreliable,
,"Bergen County, NJ",34003,2001,2001,61,888782,6.9,
,"Burlington County, NJ",34005,2001,2001,29,429727,6.7,
,"Camden County, NJ",34007,2001,2001,47,506326,9.3,
