GeoFIPS,Area_name,PCTPOVALL_2018
0,United States,13.1
1000,Alabama,16.8
1001,Autauga County,13.8
1003,Baldwin County,9.8
1005,Barbour County,30.9
1007,Bibb County,21.8
1009,Blount County,13.2
1011,Bullock County,42.5
1013,Butler County,24.5
1015,Calhoun County,19.5
1017,Chambers County,18.7
1019,Cherokee County,16.3
1021,Chilton County,17.3
1023,Choctaw County,22.1
1025,Clarke County,22.8
1027,Clay County,17.6
1029,Cleburne County,16
1031,Coffee County,13.8
1033,Colbert County,13.8
1035,Conecuh County,24.4
1037,Coosa County,18.9
1039,Covington County,19.9
1041,Crenshaw County,19.5
1043,Cullman County,14.5
1045,Dale County,16.2
1047,Dallas County,31.4
1049,DeKalb County,21.3
1051,Elmore County,11.2
1053,Escambia County,23.6
1055,Etowah County,17.5
1057,Fayette County,23.5
1059,Franklin County,19.2
1061,Geneva County,21.3
1063,Greene County,30.1
1065,Hale County,25.6
1067,Henry County,17.9
1069,Houston County,16.5
1071,Jackson County,19.7
1073,Jefferson County,16.1
1075,Lamar County,17.4
1077,Lauderdale County,14
1079,Lawrence County,19.3
1081,Lee County,19
1083,Limestone County,11.4
1085,Lowndes County,25.1
1087,Macon County,30.2
1089,Madison County,11.9
1091,Marengo County,24
1093,Marion County,20.2
1095,Marshall County,18.3
1097,Mobile County,20.8
1099,Monroe County,21.9
1101,Montgomery County,20.1
1103,Morgan County,13.2
1105,Perry County,35.3
1107,Pickens County,23.1
1109,Pike County,23.6
1111,Randolph County,19.7
1113,Russell County,21.7
1115,St. Clair County,12
1117,Shelby County,8
1119,Sumter County,34.7
1121,Talladega County,19.3
1123,Tallapoosa County,19.7
1125,Tuscaloosa County,16.8
1127,Walker County,17.9
1129,Washington County,17.6
1131,Wilcox County,33.4
1133,Winston County,18.6
2000,Alaska,11.1
2013,Aleutians East Borough,15.5
2016,Aleutians West Census Area,10
2020,Anchorage Borough,9.5
2050,Bethel Census Area,32.7
2060,Bristol Bay Borough,11.2
2068,Denali Borough,6.9
2070,Dillingham Census Area,22
2090,Fairbanks North Star Borough,8.6
2100,Haines Borough,10.5
2105,Hoonah-Angoon Census Area,17.2
2110,Juneau Borough,7.3
2122,Kenai Peninsula Borough,12.4
2130,Ketchikan Gateway Borough,9.1
2150,Kodiak Island Borough,8.2
2158,Kusilvak Census Area,35.1
2164,Lake and Peninsula Borough,18.2
2170,Matanuska-Susitna Borough,10.4
2180,Nome Census Area,22
2185,North Slope Borough,11.1
2188,Northwest Arctic Borough,21.1
2195,Petersburg Borough,7.2
2198,Prince of Wales-Hyder Census Area,16.5
2220,Sitka Borough,7.7
2230,Skagway Municipality,4.3
2240,Southeast Fairbanks Census Area,13.4
2261,Valdez-Cordova Census Area,9.7
2275,Wrangell City and Borough,11.6
2282,Yakutat Borough,13.1
2290,Yukon-Koyukuk Census Area,23.7
4000,Arizona,14.1
4001,Apache County,37.3
4003,Cochise County,15.1
4005,Coconino County,15.9
4007,Gila County,20.4
4009,Graham County,20.2
4011,Greenlee County,10.5
4012,La Paz County,23.7
4013,Maricopa County,12.3
4015,Mohave County,16.8
4017,Navajo County,28.5
4019,Pima County,16.2
4021,Pinal County,12.9
4023,Santa Cruz County,24.4
4025,Yavapai County,13.2
4027,Yuma County,19.5
5000,Arkansas,16.8
5001,Arkansas County,17.9
5003,Ashley County,19.6
5005,Baxter County,15.1
5007,Benton County,8.6
5009,Boone County,14.8
5011,Bradley County,21.7
5013,Calhoun County,15.7
